song;date;geo;name;Val
落日与晚风(苏星婕);1993-01;asia;Asia;0
落日与晚风(苏星婕);1993-02;asia;Asia;0
落日与晚风(苏星婕);1993-03;asia;Asia;0
落日与晚风(苏星婕);1993-04;asia;Asia;0
落日与晚风(苏星婕);1993-05;asia;Asia;0
落日与晚风(苏星婕);1993-06;asia;Asia;0
落日与晚风(苏星婕);1993-07;asia;Asia;0
落日与晚风(苏星婕);1993-08;asia;Asia;0
落日与晚风(苏星婕);1993-09;asia;Asia;0
落日与晚风(苏星婕);1993-10;asia;Asia;0
落日与晚风(苏星婕);1993-11;asia;Asia;0
落日与晚风(苏星婕);1993-12;asia;Asia;0
落日与晚风(苏星婕);1994-01;asia;Asia;0
落日与晚风(苏星婕);1994-02;asia;Asia;0
落日与晚风(苏星婕);1994-03;asia;Asia;0
落日与晚风(苏星婕);1994-04;asia;Asia;0
落日与晚风(苏星婕);1994-05;asia;Asia;0
落日与晚风(苏星婕);1994-06;asia;Asia;0
落日与晚风(苏星婕);1994-07;asia;Asia;0
落日与晚风(苏星婕);1994-08;asia;Asia;0
落日与晚风(苏星婕);1994-09;asia;Asia;0
落日与晚风(苏星婕);1994-10;asia;Asia;0
落日与晚风(苏星婕);1994-11;asia;Asia;0
落日与晚风(苏星婕);1994-12;asia;Asia;0
落日与晚风(苏星婕);1995-01;asia;Asia;0
落日与晚风(苏星婕);1995-02;asia;Asia;0
落日与晚风(苏星婕);1995-03;asia;Asia;0
落日与晚风(苏星婕);1995-04;asia;Asia;0
落日与晚风(苏星婕);1995-05;asia;Asia;0
落日与晚风(苏星婕);1995-06;asia;Asia;0
落日与晚风(苏星婕);1995-07;asia;Asia;0
落日与晚风(苏星婕);1995-08;asia;Asia;0
落日与晚风(苏星婕);1995-09;asia;Asia;0
落日与晚风(苏星婕);1995-10;asia;Asia;0
落日与晚风(苏星婕);1995-11;asia;Asia;0
落日与晚风(苏星婕);1995-12;asia;Asia;0
落日与晚风(苏星婕);1996-01;asia;Asia;0
落日与晚风(苏星婕);1996-02;asia;Asia;0
落日与晚风(苏星婕);1996-03;asia;Asia;0
落日与晚风(苏星婕);1996-04;asia;Asia;0
落日与晚风(苏星婕);1996-05;asia;Asia;0
落日与晚风(苏星婕);1996-06;asia;Asia;0
落日与晚风(苏星婕);1996-07;asia;Asia;0
落日与晚风(苏星婕);1996-08;asia;Asia;0
落日与晚风(苏星婕);1996-09;asia;Asia;0
落日与晚风(苏星婕);1996-10;asia;Asia;0
落日与晚风(苏星婕);1996-11;asia;Asia;0
落日与晚风(苏星婕);1996-12;asia;Asia;0
落日与晚风(苏星婕);1997-01;asia;Asia;0
落日与晚风(苏星婕);1997-02;asia;Asia;0
落日与晚风(苏星婕);1997-03;asia;Asia;0
落日与晚风(苏星婕);1997-04;asia;Asia;0
落日与晚风(苏星婕);1997-05;asia;Asia;0
